id,title,year,google_rating,vote_average,vote_count,revenue,runtime,index
12477,Grave of the Fireflies,1988,97,8.455,4861,516962,89,865
635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020,96,8.259,3413,503063688,117,1301
372058,Your Name.,2016,96,8.514,10303,357986087,106,258
378064,A Silent Voice: The Movie,2016,96,8.402,3566,30156463,130,1236
4935,Howl's Moving Castle,2004,96,8.402,8720,236049757,119,357
280,Terminator 2: Judgment Day,1991,95,8.104,11744,520000000,137,195
278,The Shawshank Redemption,1994,95,8.702,24649,28341469,142,14
129,Spirited Away,2001,95,8.539,14913,274925095,125,107
14574,The Boy in the Striped Pyjamas,2008,94,7.849,6542,20416563,94,557
128,Princess Mononoke,1997,94,8.338,7228,169000000,134,482
396535,Train to Busan,2016,94,7.8,6694,87547518,118,536
13,Forrest Gump,1994,94,8.477,25409,677387716,142,10
11423,Memories of Murder,2003,94,8.066,3351,26000000,131,1325
8392,My Neighbor Totoro,1988,94,8.073,7124,41000000,86,492
1891,The Empire Strikes Back,1980,94,8.4,15773,538400000,124,96
423,The Pianist,2002,94,8.382,8351,120072577,150,378
1892,Return of the Jedi,1983,94,7.892,14591,572700000,132,120
16859,Kiki's Delivery Service,1989,94,7.848,3562,4493017,103,1238
3034,Young Frankenstein,1974,93,7.901,2877,86273333,106,1561
207,Dead Poets Society,1989,93,8.312,10311,235860116,128,257
9495,The Crow,1994,93,7.502,3553,50694672,102,1250
637,Life Is Beautiful,1997,93,8.455,12218,230098753,116,181
466282,To All the Boys I've Loved Before,2018,93,7.642,8045,0,100,395
10515,Castle in the Sky,1986,93,7.961,3735,5228752,125,1175
38,Eternal Sunshine of the Spotless Mind,2004,93,8.101,13709,72258126,108,140
196,Back to the Future Part III,1990,93,7.465,9679,244527583,119,291
324786,Hacksaw Ridge,2016,93,8.195,12668,175302354,139,166
11886,Robin Hood,1973,93,7.284,4029,32056467,83,1061
12405,Slumdog Millionaire,2008,93,7.734,9916,378410542,120,275
613,Downfall,2004,93,7.847,3460,92181574,156,1287
597,Titanic,1997,93,7.9,23637,2264162353,194,17
81,Nausicaä of the Valley of the Wind,1984,93,7.928,3174,3301446,117,1408
489,Good Will Hunting,1997,93,8.149,11111,225933435,127,221
346,Seven Samurai,1954,93,8.452,3230,346300,207,1376
77338,The Intouchables,2011,93,8.277,16083,426588510,113,89
299534,Avengers: Endgame,2019,93,8.263,23857,2800000000,181,15
1402,The Pursuit of Happyness,2006,93,7.9,9159,307077295,117,331
105,Back to the Future,1985,93,8.314,18442,381109762,116,55
1579,Apocalypto,2006,93,7.567,5049,120673227,139,830
49046,All Quiet on the Western Front,2022,93,7.749,3127,0,147,1426
424,Schindler's List,1993,93,8.573,14594,321365567,195,119
1422,The Departed,2006,92,8.166,13792,291465000,151,136
12153,White Chicks,2004,92,6.919,3505,113086475,109,1270
10681,WALL·E,2008,92,8.078,17446,521311860,98,69
914,The Great Dictator,1940,92,8.332,3037,11000000,125,1482
244786,Whiplash,2014,92,8.381,13891,13092000,107,135
424694,Bohemian Rhapsody,2018,92,7.997,15965,903992901,135,92
497,The Green Mile,1999,92,8.507,15937,286801374,189,93
819,Sleepers,1996,92,7.597,3230,165615285,147,1377
563,Starship Troopers,1997,92,7.03,4392,121214377,129,954
935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,92,8.129,5111,9523464,95,812
393,Kill Bill: Vol. 2,2004,92,7.876,12916,152159461,136,157
246741,What We Do in the Shadows,2014,92,7.6,3241,6263224,86,1373
4348,Pride & Prejudice,2005,92,8.083,7394,121616555,127,461
863,Toy Story 2,1999,92,7.589,12904,497366869,92,159
36955,True Lies,1994,92,7.057,3672,378882411,141,1201
155,The Dark Knight,2008,92,8.512,30619,1004558444,152,2
11216,Cinema Paradiso,1988,92,8.453,3954,11990401,124,1081
766,Army of Darkness,1992,92,7.27,2829,21502976,81,1586
550,Fight Club,1999,92,8.438,27238,100853753,139,7
680,Pulp Fiction,1994,92,8.488,25893,213900000,154,9
68718,Django Unchained,2012,92,8.171,24672,425368238,165,13
9016,Treasure Planet,2002,92,7.526,3798,109578115,95,1147
218,The Terminator,1984,92,7.646,11874,78371200,108,193
615,The Passion of the Christ,2004,92,7.47,4017,611899420,127,1064
14836,Coraline,2009,92,7.854,6950,124600000,100,506
747,Shaun of the Dead,2004,92,7.54,7760,30097092,99,422
149,Akira,1988,92,7.946,3727,553171,124,1180
627,Trainspotting,1996,92,8.0,9017,16491080,94,339
406,La Haine,1995,92,8.087,3612,15300000,98,1220
157336,Interstellar,2014,92,8.417,32571,701729206,169,1
1895,Star Wars: Episode III - Revenge of the Sith,2005,92,7.411,12753,850000000,140,165
637920,Miracle in Cell No. 7,2019,92,8.277,4217,19289062,132,1005
22,Pirates of the Caribbean: The Curse of the Black Pearl,2003,92,7.794,19233,655011224,143,47
101,Léon: The Professional,1994,91,8.316,13652,45284974,111,141
857,Saving Private Ryan,1998,91,8.209,14658,481840909,169,116
2109,Rush Hour,1998,91,7.013,4374,244721064,98,957
85,Raiders of the Lost Ark,1981,91,7.924,11483,389925971,115,206
18,The Fifth Element,1997,91,7.53,9947,263920180,126,274
58,Pirates of the Caribbean: Dead Man's Chest,2006,91,7.346,14868,1065659812,151,109
581,Dances with Wolves,1990,91,7.846,3835,424208848,181,1127
406997,Wonder,2017,91,8.155,7421,305937718,113,459
141,Donnie Darko,2001,91,7.8,11515,7500000,114,201
500,Reservoir Dogs,1992,91,8.132,13296,2859750,99,148
111,Scarface,1983,91,8.168,10749,66023329,169,235
165,Back to the Future Part II,1989,91,7.752,11817,332000000,108,194
834,Underworld: Evolution,2006,91,6.57,3718,111476513,106,1183
582,The Lives of Others,2006,91,8.035,3319,70000000,137,1338
1587,What's Eating Gilbert Grape,1993,91,7.667,3639,10032765,118,1207
1374,Rocky IV,1985,91,7.076,4014,300473716,91,1065
76203,12 Years a Slave,2013,91,7.945,10603,187000000,134,241
5548,RoboCop,1987,91,7.297,4559,53424681,102,927
10229,A Walk to Remember,2002,91,7.74,3787,47494916,101,1154
1417,Pan's Labyrinth,2006,91,7.757,9839,83258226,118,280
197,Braveheart,1995,91,7.932,9347,213216216,177,316
10112,The Aristocats,1970,91,7.289,4660,55675257,78,897
12429,Ponyo,2008,91,7.741,3783,202404009,100,1157
510,One Flew Over the Cuckoo's Nest,1975,91,8.42,9650,108981275,133,297
9286,Final Destination 3,2006,91,6.1,3513,118890272,93,1266
77,Memento,2000,91,8.188,13723,39723096,113,139
490132,Green Book,2018,91,8.242,10542,319700000,130,245
274,The Silence of the Lambs,1991,91,8.3,15003,272742922,119,106
2899,Asterix & Obelix: Mission Cleopatra,2002,91,7.377,3184,128027976,108,1406
515001,Jojo Rabbit,2019,91,8.042,8724,82468705,108,355
70,Million Dollar Baby,2004,91,7.958,8874,216763646,132,349
429,"The Good, the Bad and the Ugly",1966,91,8.473,7751,38900000,161,423
28178,Hachi: A Dog's Tale,2009,91,8.006,6235,46749646,93,600
1573,Die Hard 2,1990,91,6.923,5275,240031094,124,779
762,Monty Python and the Holy Grail,1975,91,7.797,5280,1940906,91,778
100,"Lock, Stock and Two Smoking Barrels",1998,91,8.126,6072,28356188,105,632
7345,There Will Be Blood,2007,91,8.085,5985,77208711,158,643
942,Lethal Weapon 2,1989,91,7.006,3092,227853986,114,1450
235,Stand by Me,1986,91,7.856,5317,52287414,89,771
807,Se7en,1995,91,8.368,19403,327311859,127,45
1933,The Others,2001,91,7.612,5916,209947037,101,655
45269,The King's Speech,2010,91,7.74,8145,414211549,118,390
1572,Die Hard: With a Vengeance,1995,91,7.253,5604,366101666,128,714
2062,Ratatouille,2007,91,7.809,15728,623726000,111,98
389,12 Angry Men,1957,91,8.54,7658,1000000,97,436
598,City of God,2002,91,8.429,6708,30641770,130,532
106646,The Wolf of Wall Street,2013,91,8.035,22222,392000000,180,22
861,Total Recall,1990,91,7.284,5243,261317921,113,786
671,Harry Potter and the Philosopher's Stone,2001,91,7.916,25379,976475550,152,11
524,Casino,1995,91,8.004,5240,116112375,179,787
855,Black Hawk Down,2001,91,7.368,5208,172989651,145,795
205596,The Imitation Game,2014,91,8.007,15973,233555708,113,91
1103,Escape from New York,1981,91,7.1,2805,50244700,99,1597
238,The Godfather,1972,90,8.707,18677,245066411,175,53
1367,Rocky II,1979,90,7.259,3973,85182160,118,1076
334533,Captain Fantastic,2016,90,7.912,6017,23123592,118,640
567,Rear Window,1954,90,8.359,5893,37034514,112,656
11,Star Wars,1977,90,8.204,19155,775398007,121,49
8844,Jumanji,1995,90,7.239,9833,262821940,104,281
2108,The Breakfast Club,1985,90,7.751,7478,51525171,98,453
36557,Casino Royale,2006,90,7.543,9959,599045960,144,273
