id,title,year,google_rating,vote_average,vote_count,revenue,runtime
446893,Trolls World Tour,2020,71,7.349,1921,49276818,90
10147,Bad Santa,2003,78,6.514,1917,76490720,92
832,M,1931,46,8.095,1913,0,109
82520,Return,2011,47,6.495,1913,0,97
599975,Countdown,2019,77,6.294,1912,48021766,90
619730,Don't Worry Darling,2022,62,6.81,1911,86669039,123
310593,Youth,2015,70,6.901,1911,2000000,125
1523,The Last King of Scotland,2006,77,7.421,1909,48618191,123
18126,Hannah Montana: The Movie,2009,83,6.603,1907,155545279,102
14164,Dragonball Evolution,2009,28,2.89,1906,58228460,85
11806,Beethoven,1992,78,5.782,1905,147214049,87
384682,Office Christmas Party,2016,69,5.652,1904,114501299,105
222936,Aloha,2015,60,5.497,1904,26250020,105
9913,The Skeleton Key,2005,68,6.603,1904,93983911,104
1360,Frida,2002,-1,7.426,1904,56298474,123
13051,Max Payne,2008,64,5.36,1904,85416905,100
6282,Coyote Ugly,2000,79,6.244,1903,113916474,100
184346,Deliver Us from Evil,2014,73,6.215,1902,87937815,118
48231,A Dangerous Method,2011,78,6.344,1901,27462041,99
8292,Four Brothers,2005,78,6.755,1900,92374674,109
23082,The Invention of Lying,2009,66,6.183,1900,32406507,100
4032,My Girl,1991,83,7.372,1897,59490000,103
25195,Leap Year,2010,87,6.889,1897,32686500,100
59678,Attack the Block,2011,82,6.453,1895,3964682,88
339967,Colossal,2017,53,6.296,1894,3029287,109
12573,A Serious Man,2009,68,6.761,1893,31430334,106
2642,Two Weeks Notice,2002,73,6.353,1893,199043242,101
12184,The Other Boleyn Girl,2008,79,6.7,1892,78269970,115
397422,Rough Night,2017,63,5.691,1891,45056771,101
216282,Into the Storm,2014,61,6.036,1891,160602194,89
81836,To Rome with Love,2012,67,5.773,1891,73244881,111
16866,Planet 51,2009,72,5.851,1891,104945765,91
21032,Balto,1995,82,7.29,1887,11348324,78
9378,Thir13en Ghosts,2001,86,6.208,1887,68467960,91
201088,Blackhat,2015,53,5.474,1885,17752940,133
8275,American Pie Presents: The Naked Mile,2006,81,5.497,1884,0,97
88005,Seeking a Friend for the End of the World,2012,73,6.555,1884,9636289,101
64685,Extremely Loud & Incredibly Close,2011,63,6.971,1882,55247881,129
458594,Peppermint,2018,76,6.7,1882,53918723,102
287903,Krampus,2015,68,6.145,1882,61788393,98
11397,Not Another Teen Movie,2001,66,5.78,1880,66468332,89
203,Mean Streets,1973,79,7.093,1879,3000000,111
681,Diamonds Are Forever,1971,86,6.39,1878,116019547,120
7461,Vantage Point,2008,59,6.37,1878,151161491,90
331313,Keeping Up with the Joneses,2016,59,6.1,1878,29918745,105
6415,Three Kings,1999,63,6.652,1877,108000000,114
431580,Abominable,2019,71,7.509,1877,190304772,97
1398,Stalker,1979,86,8.176,1876,0,162
11282,Harold & Kumar Go to White Castle,2004,92,6.522,1876,23936908,88
11969,Tombstone,1993,90,7.603,1876,56505065,130
